iter	Passed	Remaining
214	12597	45994
215	12654	45932
216	12704	45841
217	12765	45790
218	12823	45730
219	12884	45682
220	12941	45617
221	12998	45554
222	13064	45518
223	13120	45453
224	13176	45385
225	13236	45332
226	13295	45275
227	13352	45210
228	13409	45146
229	13464	45078
230	13526	45030
231	13584	44969
232	13644	44915
233	13702	44856
234	13762	44800
235	13815	44724
236	13871	44658
237	13932	44606
238	13988	44540
239	14046	44481
240	14107	44431
241	14167	44377
242	14227	44320
243	14290	44278
244	14349	44220
245	14415	44182
246	14471	44116
247	14534	44072
248	14597	44027
249	14680	44040
250	14742	43993
251	14796	43919
252	14845	43831
253	14908	43785
254	14968	43732
255	15026	43670
256	15082	43605
257	15145	43558
258	15201	43492
259	15261	43436
260	15318	43374
261	15376	43311
262	15432	43245
263	15494	43197
264	15557	43150
265	15620	43101
266	15683	43055
267	15740	42993
268	15799	42935
269	15856	42872
270	15919	42824
271	15982	42776
272	16039	42714
273	16098	42655
274	16155	42591
275	16214	42533
276	16270	42467
277	16328	42406
278	16387	42349
279	16445	42289
280	16508	42239
281	16572	42194
282	16630	42135
283	16691	42080
284	16748	42017
285	16812	41971
286	16873	41918
287	16930	41857
288	16987	41791
289	17049	41741
290	17095	41652
291	17150	41584
292	17212	41532
293	17268	41468
294	17326	41408
295	17388	41357
296	17450	41306
297	17512	41255
298	17570	41194
299	17634	41148
300	17699	41101
301	17753	41032
302	17814	40979
303	17870	40913
304	17933	40865
305	17991	40803
306	18048	40740
307	18105	40678
308	18165	40621
309	18228	40572
310	18289	40519
311	18347	40459
312	18408	40404
313	18469	40351
314	18529	40294
315	18585	40230
316	18648	40180
317	18707	40121
318	18762	40054
319	18826	40006
320	18883	39944
321	18947	39894
322	19004	39832
323	19059	39766
324	19118	39706
325	19178	39652
326	19239	39596
327	19296	39534
328	19352	39470
329	19414	39416
330	19475	39362
331	19539	39315
332	19597	39254
333	19659	39201
334	19715	39137
335	19774	39077
336	19836	39025
337	19897	38970
338	19958	38916
339	20022	38867
340	20088	38821
341	20144	38758
342	20206	38704
343	20269	38652
344	20327	38592
345	20386	38534
346	20447	38478
347	20505	38418
348	20564	38359
349	20632	38317
350	20695	38266
351	20756	38210
352	20817	38156
353	20880	38103
354	20944	38053
355	21000	37990
356	21059	37929
357	21123	37880
358	21181	37820
359	21243	37766
360	21297	37697
361	21357	37640
362	21418	37585
363	21479	37529
364	21541	37475
365	21604	37423
366	21660	37359
367	21716	37296
368	21772	37231
369	21836	37180
370	21894	37120
371	21954	37063
372	22015	37007
373	22071	36943
374	22133	36889
375	22194	36833
376	22251	36771
377	22309	36710
378	22366	36648
379	22424	36587
380	22482	36526
381	22538	36462
382	22595	36400
383	22657	36346
384	22714	36283
385	22772	36222
386	22834	36168
387	22893	36109
388	22947	36044
389	23005	35983
390	23066	35927
391	23132	35879
392	23195	35826
393	23257	35771
394	23316	35712
395	23381	35662
396	23438	35600
397	23498	35542
398	23559	35486
399	23617	35426
